TIC_ID,sector,available
354031707,75.0,True
197807043,2.0,True
219847787,56.0,True
380783252,13.0,True
237019002,,False
86273567,47.0,True
453387619,47.0,True
256867493,51.0,True
98728690,,False
468997317,9.0,True
240849748,29.0,True
254141733,67.0,True
286094277,41.0,True
15460993,55.0,True
120183168,74.0,True
361710792,66.0,True
47425697,29.0,True
154304816,56.0,True
139251123,28.0,True
287328202,61.0,True
278666476,28.0,True
386197662,71.0,True
381360750,70.0,True
437736517,84.0,True
102159710,54.0,True
163262555,63.0,True
166099360,,False
367522211,71.0,True
78290597,,False
158075010,16.0,True
294904059,75.0,True
293267224,,False
194203348,,False
166778944,31.0,True
122981686,88.0,True
434171113,57.0,True
206785987,33.0,True
42054565,3.0,True
262530780,29.0,True
50120414,58.0,True
346077232,77.0,True
325653071,76.0,True
259884973,94.0,True
266425782,59.0,True
59351345,71.0,True
99896567,14.0,True
71581518,,False
320505267,84.0,True
420051632,4.0,True
167085203,61.0,True
248391319,30.0,True
1122079,,False
7681574,74.0,True
263075864,27.0,True
385796857,,False
60984804,8.0,True
443199889,100.0,True
648958344,52.0,True
365509373,98.0,True
150388393,48.0,True
236934937,15.0,True
230075227,14.0,True
242120884,38.0,True
467684543,70.0,True
332383229,88.0,True
237406657,87.0,True
467211520,74.0,True
377253700,,False
416534875,14.0,True
272211398,37.0,True
105759569,100.0,True
372596795,63.0,True
341815197,14.0,True
243464977,81.0,True
366564164,,False
454361389,64.0,True
366698929,,False
464328419,63.0,True
345143460,57.0,True
1042432,21.0,True
272679240,14.0,True
411343008,83.0,True
167654347,87.0,True
218354669,42.0,True
165337974,,False
60446303,,False
236158940,75.0,True
406976746,12.0,True
38603673,12.0,True
253434221,38.0,True
127505658,43.0,True
44514807,62.0,True
153696322,,False
283759999,,False
138588540,,False
343952976,66.0,True
459735346,55.0,True
451606970,12.0,True
331146317,56.0,True
86419190,,False
23229805,26.0,True
149995163,47.0,True
396316939,65.0,True
271307949,61.0,True
88999533,88.0,True
317546777,87.0,True
190643105,89.0,True
176242778,61.0,True
206947218,,False
439618305,89.0,True
22730066,,False
297924888,,False
239542854,,False
286152207,61.0,True
373017346,40.0,True
123627908,87.0,True
174041208,16.0,True
198212955,14.0,True
388816604,30.0,True
179580045,61.0,True
88529975,60.0,True
298600443,14.0,True
284206913,58.0,True
177258735,12.0,True
405700729,11.0,True
8995204,29.0,True
308994098,1.0,True
404227343,64.0,True
447088034,12.0,True
260767135,,False
397522142,64.0,True
131347421,88.0,True
302419660,71.0,True
296850254,64.0,True
367439938,86.0,True
370385007,65.0,True
330135981,56.0,True
287721202,64.0,True
281710229,68.0,True
188001223,75.0,True
303204165,42.0,True
317882327,,False
9344899,98.0,True
383410746,64.0,True
200743403,97.0,True
121560868,65.0,True
116483734,16.0,True
160222069,29.0,True
467690903,86.0,True
243208884,70.0,True
237204346,18.0,True
329373799,56.0,True
30254887,54.0,True
381544766,58.0,True
264159776,87.0,True
65212867,34.0,True
392914193,65.0,True
1870990135,54.0,True
113648563,67.0,True
257562160,70.0,True
176780257,4.0,True
34729329,87.0,True
229750058,23.0,True
269130683,,False
248387177,30.0,True
152569268,90.0,True
160077104,14.0,True
391900348,61.0,True
342167886,34.0,True
124454726,64.0,True
468880077,5.0,True
197642926,,False
118914286,89.0,True
60491424,82.0,True
332911893,,False
282890159,81.0,True
423445163,89.0,True
441797803,41.0,True
53394475,60.0,True
336961891,42.0,True
343330330,55.0,True
303523128,42.0,True
87422071,93.0,True
260417932,28.0,True
92677094,40.0,True
427740976,43.0,True
